id,generation,status,bottom_band,diagonal_band,seat_band,front_seat_band,lower_tunnel_collar_mm,upper_tunnel_collar_mm,volume_ratio,movement_indicator_mm,raw_2d_peak_MPa,inner_seat_ratio,score
7360ccce3684,1,PASS_REDUCED_CONTACT,1.75,1.8,5.0,2.0,3.85,2.5,1.0133037786142325,4.282087967833794,130.2743870524268,0.9956211188208216,157.58351263562122
bb18f50d233c,1,PASS_REDUCED_CONTACT,1.6,1.95,5.0,2.1,3.5,2.5,1.007163269485218,4.28121952468616,13.205016341381457,0.9998184409126916,1.0664765852837503
c72e89c8eeec,1,PASS_REDUCED_CONTACT,1.6,1.95,5.0,2.1,3.7,2.7,1.0120975071929457,4.276885005694817,89.03133903133903,0.9998182917958475,66.71319435710066
efdf5bc7658b,1,PASS_REDUCED_CONTACT,1.6,1.8,5.45,1.8,3.2,2.5,0.9992630030921366,4.308870301562937,23.40003423757848,1.0314308891851602,2.2542376955423093
dff8936ca789,1,PASS_REDUCED_CONTACT,1.6,1.8,5.45,1.65,3.5,2.65,1.0043579287749878,4.303343031042477,13.232124719752303,1.0316153822700918,1.075369755745115
4fc35c615d2e,1,PASS_REDUCED_CONTACT,1.75,1.8,5.0,2.0,3.35,2.7,1.0053391638309308,4.292941897338378,55.202609727897325,0.9956215314919311,21.195909533856245
d41d5ed3b397,1,PASS_REDUCED_CONTACT,1.6,2.1,5.0,2.0,3.5,2.5,1.0075551410878383,4.26859605783076,13.200005728303317,0.9998824727886064,1.0616630227995072
0e7420a4fced,1,PASS_REDUCED_CONTACT,1.75,1.8,5.0,2.0,3.7,2.95,1.0135196809500935,4.28523700406843,13.239950716463849,0.9956212608781954,1.0745407220620775
50d825415b68,1,PASS_REDUCED_CONTACT,1.6,1.65,5.5,2.0,3.5,2.5,1.006423684554833,4.311650749672073,13.24107735176161,1.023995965210557,1.0804211160529076
14d3851703db,1,PASS_REDUCED_CONTACT,1.75,1.8,5.0,2.15,3.8,2.5,1.014217069415851,4.281830643522517,13.247923131674664,0.995491503741557,1.0737917523721816
6ce29adb5bd6,1,PASS_REDUCED_CONTACT,1.6,1.8,5.0,2.0,3.5,2.35,0.9990896616067424,4.335482873465741,77.01210826210826,0.9999999796676299,47.560101755131654
c6463cd78c64,1,PASS_REDUCED_CONTACT,1.6,1.7,5.8,1.8,3.5,2.3,1.007731712881524,4.286282603058151,124.01606714006161,0.9992321599991425,141.2899469094035
9b521acc8d5b,1,PASS_REDUCED_CONTACT,1.75,1.8,5.5,2.0,3.5,2.5,1.0145449232791077,4.251087000948092,13.233327627398143,1.0204365782917861,1.0626638079727695
f8e49326d6d6,1,PASS_REDUCED_CONTACT,1.6,1.65,5.5,1.9,3.5,2.3,1.0040948219426293,4.3125450526107345,17.361111111111107,1.023969771887595,1.2733963234784609
a00bc7d93ac1,1,PASS_REDUCED_CONTACT,1.6,1.8,5.85,1.95,3.5,2.25,1.010572225695739,4.269428965582353,49.9188779447091,0.9839771214521666,16.442884051853916
7cdd244f989c,1,PASS_REDUCED_CONTACT,1.6,1.65,5.0,2.2,3.5,2.5,1.0009872413344394,4.3489916046662,13.239672564337965,0.9998744648731936,1.0923344697236421
8ba528639367,1,PASS_REDUCED_CONTACT,1.6,1.8,5.0,2.0,3.75,2.5,1.00458428288869,4.33019106416189,126.86965811965811,0.9999999048674312,148.62371298802316
f95a27d6e3be,2,PASS_REDUCED_CONTACT,1.75,1.95,5.25,2.0,3.5,2.5,1.0168395176936709,4.219347725639647,13.206274015056156,1.0741989588682044,1.0639355572453861
